1,Calgary,SunJan0502:02:10MST2020,872,846800,1.03,0.27,26.43,0
2,Calgary,SunJan0502:02:10MST2020,873,848957,1.03,0.30,27.47,0
3,Calgary,SunJan0502:02:10MST2020,874,850269,1.03,0.34,29.31,0
4,Calgary,SunJan0502:02:10MST2020,875,853160,1.03,0.60,41.31,0
5,Calgary,SunJan0502:02:10MST2020,876,854227,1.03,0.31,28.20,0
6,Calgary,SunJan0502:02:10MST2020,877,855825,1.02,0.24,24.93,0
7,Calgary,SunJan0502:02:10MST2020,878,856040,1.03,0.42,33.16,0
8,Calgary,SunJan0502:02:10MST2020,879,856399,1.03,0.46,34.98,0
9,Calgary,SunJan0502:02:10MST2020,880,857194,1.03,
10,Calgary,SunJan0502:02:10MST2020,3850,3616080,1.06,1.01,60.34,0
11,Calgary,SunJan0502:02:10MST2020,3851,3616315,1.06,4.17,244.42,0
12,Calgary,SunJan0502:02:10MST2020,3852,3616332,1.07,0.30,27.55,0
13,Calgary,SunJan0502:02:10MST2020,3853,3616582,1.07,0.31,28.29,0

